asin,overall,reviewText,summary,verified,vote
B000LXC568,5.0,"I purchased this in addition to my cutterpede and I love it.  It works very well, even on the heavier carsdstock I've used.  I also bought the scoring blade, which also works very well.",Works like a dream,True,
B000S14PFM,4.0,"These colors are lovely, but if you are using them to color, it takes a bit to dry. When dry, finish is shiny.",Takes a bit to dry,True,
B000S14PFM,5.0,"I just love the bright shin-filled colors of Glaze. This is my 2nd set!  They arrived a day early, too!  Great basic set for those who want to give them a try.  Highly recommend!",love the bright shin-filled colors of Glaze!,True,
B000S14PFM,5.0,"Sakura gel pens are my FAVORITE, and these glaze pens leave a shiny, acrylic-like 3-D effect on the paper.  Let dry between each layer and you can continuously build up the effect.  Only downside - If you use them to fill in large areas, gel will run out quickly.  Still my favorite gel pens.","Sakura gel pens are my FAVORITE, and these glaze pens leave a shiny",True,
B000S14PFM,5.0,These are beautiful gel pens and work like perfection. So smooth and dries beautifully.  I Love them and will be purchasing again soon!,These ARE best gel pens ever!,True,
B000S14PFM,5.0,very bright colors and ink flows great,Five Stars,True,
B000S14PFM,5.0,"These pens are awesome in every way!  I use them for my artworks and for card making.  They add the perfect final touch to all my projects.  They work great on non-porous surfaces, but I use them on paper, mostly.  I love the colors and the shiny, slightly raised appearance.  Note that the 3D effect will be less pronounced on a porous surface such as paper. Sakura Gelly Roll pens are the best and cannot be beat.  I love them all! :",Yet another outstanding Sakura Gelly Roll product. What's not to love?,True,
B000S14PFM,5.0,Happy with my purchase.,Five Stars,True,
B000S14PFM,5.0,"only brand you should buy.  all the rest dry up quickly and do not roll on easily.  These gel pens are wonderful and worth the extra money.
Make sure to store them flat so the ink doesn't get stuck at the bottom.  Have been using this product for years.",don't buy the other cheap brands,True,
B000S14PFM,5.0,"these are amazing, I am very pleased",Five Stars,True,
B000S14PFM,5.0,"These are lovely, especially on black notebook paper :) very pleased. Great for planers.",:) very pleased.,True,
B000S14PFM,5.0,These are really grand!  Beautiful lay down and add dimension to my Coloring books!,Beautiful lay down and add dimension to my Coloring books,True,
B000S14PFM,5.0,Great 3D feel as the glaze pens leave a somewhat thicker depth to your project.,Great 3D feel,True,
B000S14PFM,5.0,These pens are great for adding a little glazed texture either alone or over other mediums.,Five Stars,True,
B000S14PFM,5.0,This is a great pen!  My letters are raised and look great. Will buy more of these if i run out. So glad that i purchased them. I bought both sets.,This is a great pen! My letters are raised and look great,True,
B000S14PFM,5.0,Excellent,Excellent,True,
B000S14PFM,5.0,"I'm new to Sakura Jelly Rolls and recently purchased the 74ct set. Well, I'm hooked. I'm up to 158 pens total. These were well packaged with the wax tips on the nib for protection. Each one wrote smoothly without any skips. I only had to lightly tap one and it was fine. These do puff up some but not like the Souffle set. The drying time is pretty much the same as the other Sakura Jelly Rolls. I bought the BTSKY 160ct pencil case and it holds all of them nicely. Look for my review with pictures to get the right one because they sell a lot of different ones.",Another Sakura big hit.,True,
B000S14PFM,5.0,"I use these for bullet journaling, and they are beautiful.  The colors stars shiny and appear wet.  The colors are fabulous, with extremely strong pigmentation, and a good, smooth flow.  Sakura is known for quality, and this product is one of the reasons why.

The only trouble is, they do stay wet for a very long time. These are maybe the slowest drying pens I've ever seen, so plan careful so to not risk smearing the ink (I do a right hand tasks column, before the left side notes and events with any pen but this) and let the page sit open a few minutes, else it will stick to the facing page.  Definitely not for left-handed writers.","Good, but needs a little care to use",True,
B000S14PFM,5.0,"Just what I expected, And the price is so good. Thanks",And the price is so good.,True,
B000S14PFM,5.0,Wonderful,Five Stars,True,
B000S14PFM,5.0,Great pens but boring blah colors,Need to get brighter colors next time.,True,
B000S14PFM,5.0,"This is the second time I have bought these, as I literally used the first set up completely. They are transparent and can be used over text or image without covering it up; but they have such strong and vivid colors that they can easily be used by themselves on light colored paper. The flow of the Glaze pens is thicker and smoother than that of the other Gelly Roll pens, and it feels like luxury. These are a must-have for any craft room.","These have become a staple in my ""stash.""",True,
B000S14PFM,5.0,work great,Five Stars,True,
B000S14PFM,5.0,These are really cool how the ink is raised like embossing!,Five Stars,True,
B000S14PFM,5.0,Keeps my kids lunch nice & cold.,Five Stars,True,
B000S14PFM,5.0,"I really like the Gelly Roll glaze pens the best, of the Gelly Roll pens. They are quite liquidity, they give a pretty shine. I have used them to color flowers on cards, very pretty. I also appreciate that you can see any lines within the color. The moonlight ones by Gelly Roll obsure what is under the color. These are my favorite of the Gelly Roll pens. They also contain quite a bit of ink.  These work the best if you have larger open areas to color. You don't want them for fine spaces!",Beautiful coloring pens for larger open areas to color,True,3
B000S14PFM,5.0,Very nice and easy to use!!!love the glazed looks!,Five Stars,True,
B000S14PFM,5.0,Great pants no streak lots of ink,Five Stars,True,
B000S14PFM,5.0,These write smooth and work exactly as described.  I love the colors and they are a good value.,Nice pens!,True,
B000S14PFM,5.0,Work great.,Beautiful colors and texture,True,
B000S14PFM,5.0,"What is not to love about a 3D pen. It takes time 5-10 minutes for the ink to dry. I am learning how to blend two colors together, some attempts are better then others.
I use these all the time and I am surprised at how much ink is left. All of my Gelly Roll pens are lasting longer then some of the other brands I have tried.",What is not to love about a 3D pen,True,
B000S14PFM,5.0,These are great! I love that when they dry they look like paint and are nice and shiny. They are great to use with my regular gel pens.,These are great! I love that when they dry they look ...,True,
B000S14PFM,5.0,Great to use on cards.,Great,True,
B000S14PFM,5.0,"I love these. I just wish they came is more colors. They are easy to work with and leave a beautiful finish that looks almost like tile work. More colors, please.",I love these. I just wish they came is more ...,True,
B000S14PFM,5.0,I love Sakura pens and these are not exception.  I absolutely love the Glaze look and will purchase these again.,I love Sakura pens and these are not exception,True,
